Intervention,Trial_Count,Active_Hope_Count,Failed_Count,Completed_Count,Mean_Success_Score,Mean_Failure_Index,Pathways,Repurposing_Opportunity_Score
galantamine,15,0,3,13,59.125,53.5625,Cholinergic; Lifestyle / Digital; Synaptic / Cognitive; Cholinergic; Cholinergic; Synaptic / Cognitive; Cholinergic; Lifestyle / Digital; Cholinergic; NMDA / Glutamate,73.65
transcranial alternating current stimulation,10,5,0,4,41.54545454545455,63.54545454545455,Neuroinflammation; Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,69.61818181818182
lumbar puncture,10,4,0,4,51.2,57.2,Synaptic / Cognitive; Vascular; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Tau; Synaptic / Cognitive; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,68.48
risperidone,12,0,1,11,57.833333333333336,53.75,Unspecified / Other; Synaptic / Cognitive; Vascular; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,67.13333333333334
cognitive training,11,5,1,3,38.27272727272727,66.0,Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Synaptic / Cognitive; Vascular; Lifestyle / Digital,66.30909090909091
lecanemab 10 mg/kg,6,5,0,3,56.25,55.125,Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Unspecified / Other; Amyloid; Tau; Synaptic / Cognitive,65.5
qlh2405,1,9,0,0,40.0,65.0,Synaptic / Cognitive,63.0
brain pet scan,10,0,1,9,66.1,49.2,Tau; Synaptic / Cognitive; Tau,62.44
karx-ec,4,4,0,0,79.25,45.75,Synaptic / Cognitive; Unspecified / Other,59.7
aerobic exercise,10,1,0,9,41.7,62.3,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Lifestyle / Digital; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital,59.68000000000001
rivastigmine transdermal patch,7,0,0,7,76.71428571428571,41.0,Cholinergic; Cholinergic; NMDA / Glutamate,58.68571428571428
gantenerumab,13,2,8,7,58.8235294117647,61.35294117647059,Unspecified / Other; Amyloid; Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,57.529411764705884
18f-florbetaben,6,4,0,2,49.0,59.0,Amyloid; Tau; Synaptic / Cognitive; Vascular; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Amyloid; Neuroinflammation; Synaptic / Cognitive,55.6
transcranial magnetic stimulation,10,2,1,5,41.6,64.7,Synaptic / Cognitive; Synaptic / Cognitive; Vascular; Lifestyle / Digital,54.64
rivastigmine,11,0,2,8,50.63636363636363,59.0,Synaptic / Cognitive; Cholinergic; Cholinergic; Vascular; Cholinergic; Synaptic / Cognitive; Cholinergic; Lifestyle / Digital; Cholinergic; NMDA / Glutamate,54.25454545454545
transcranial direct current stimulation (tdcs),9,3,0,4,32.77777777777778,69.88888888888889,Synaptic / Cognitive; Vascular; Lifestyle / Digital; Synaptic / Cognitive; Tau; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; NMDA / Glutamate,54.111111111111114
standard of care,8,3,1,3,47.25,62.0,Synaptic / Cognitive; Lifestyle / Digital; Unspecified / Other; Amyloid; Synaptic / Cognitive; Neuroinflammation; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Neuroinflammation; Metabolic / Mitochondrial; Vascular,53.900000000000006
positron emission tomography (pet),7,3,1,3,50.42857142857143,59.285714285714285,Amyloid; Cholinergic; Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Synaptic / Cognitive; Metabolic / Mitochondrial,53.17142857142858
sam-531,9,0,0,9,42.44444444444444,63.44444444444444,Unspecified / Other; Cholinergic; Lifestyle / Digital,52.977777777777774
exercise,9,2,0,5,37.333333333333336,65.33333333333333,Synaptic / Cognitive; Vascular; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital; Lifestyle / Digital; Vascular; Lifestyle / Digital; Tau; Synaptic / Cognitive; Lifestyle / Digital,52.93333333333334
nio752,2,6,0,0,47.0,68.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,52.8
ct1812,7,1,0,6,54.0,57.285714285714285,Unspecified / Other; Synaptic / Cognitive; Amyloid,52.6
magnetic resonance imaging (mri),7,2,0,3,55.285714285714285,54.714285714285715,Amyloid; Amyloid; Tau; Synaptic / Cognitive; Synaptic / Cognitive; Metabolic / Mitochondrial; Amyloid; Synaptic / Cognitive; Vascular; Synaptic / Cognitive,52.114285714285714
polysomnography,5,4,0,0,53.4,56.2,Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Neuroinflammation; Synaptic / Cognitive,51.36
magnetic resonance imaging,7,3,1,3,45.0,61.857142857142854,Synaptic / Cognitive; Vascular; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,51.0
neuropsychological assessment,6,3,0,2,49.666666666666664,57.0,Synaptic / Cognitive; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital,50.86666666666667
e2814,4,3,0,1,63.75,55.0,Amyloid; Tau; Synaptic / Cognitive; Tau; Tau; Synaptic / Cognitive,50.5
transcranial alternating current stimulation (tacs),8,2,0,5,35.625,68.25,Synaptic / Cognitive; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,50.25
aricept,9,0,1,6,54.888888888888886,54.77777777777778,Cholinergic; Synaptic / Cognitive; Cholinergic; Amyloid; Neuroinflammation; Synaptic / Cognitive,49.955555555555556
[18f] flutemetamol,4,0,0,4,82.5,36.5,Amyloid; Amyloid; Synaptic / Cognitive,49.0
aadvac1,5,2,0,3,57.4,54.2,Tau; Amyloid; Tau; Synaptic / Cognitive,48.96
neuroimaging,5,2,0,3,57.4,53.2,Amyloid; Neuroinflammation; Synaptic / Cognitive; Cholinergic; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Unspecified / Other,48.96
florbetapir (18f),7,0,1,6,62.0,52.42857142857143,Amyloid; Synaptic / Cognitive; Synaptic / Cognitive; Unspecified / Other,48.8
eeg,5,3,0,2,48.2,58.2,Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Lifestyle / Digital,48.28
blood draw,5,3,0,2,47.2,60.4,Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Vascular,47.88
trontinemab,2,2,0,0,84.0,41.0,Synaptic / Cognitive,47.6
combined metabolic activators,1,1,0,0,99.0,29.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,46.6
collagen and maltodextrin,1,1,0,0,99.0,29.0,Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,46.6
sodium oligomannate capsules (gv-971),1,1,0,0,99.0,29.0,Synaptic / Cognitive,46.6
simvastatin,6,0,0,6,56.166666666666664,54.333333333333336,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Amyloid; Neuroinflammation; Synaptic / Cognitive; Vascular; Synaptic / Cognitive; Amyloid; Synaptic / Cognitive; Vascular; Vascular,46.46666666666667
solanezumab,9,1,4,4,58.44444444444444,60.77777777777778,Unspecified / Other; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,46.37777777777778
conventional anti-dementia treatment group,3,3,0,0,62.666666666666664,48.0,Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,46.06666666666666
escitalopram,7,1,1,4,50.285714285714285,57.714285714285715,Unspecified / Other; Synaptic / Cognitive; Cholinergic; Cholinergic; Vascular; Synaptic / Cognitive,45.114285714285714
aripiprazole,5,0,0,5,62.6,50.8,Unspecified / Other; Metabolic / Mitochondrial; Vascular,45.040000000000006
mlc 901,1,1,0,0,95.0,33.0,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial,45.0
[18f]-apn-1607,1,1,0,0,95.0,33.0,Synaptic / Cognitive,45.0
flutemetamol f18 injection,3,3,0,0,60.0,52.666666666666664,Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Vascular; Lifestyle / Digital,45.0
pet scan,7,1,2,4,55.0,57.285714285714285,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Tau; Neuroinflammation; Synaptic / Cognitive; Unspecified / Other,45.0
nirscure 6000,1,1,0,0,95.0,33.0,Unspecified / Other,45.0
daridorexant 50 mg,4,3,0,1,49.75,56.25,Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Lifestyle / Digital,44.900000000000006
brexpiprazole,4,0,0,5,67.2,48.6,Unspecified / Other,44.88
biomarker assay,3,3,0,0,59.333333333333336,51.333333333333336,Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital,44.733333333333334
questionnaires on sleep and behavioural problems,3,3,0,0,59.333333333333336,51.333333333333336,Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital,44.733333333333334
pet,7,1,1,3,54.142857142857146,55.714285714285715,Amyloid; Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Tau; Unspecified / Other; Synaptic / Cognitive,44.65714285714286
tdcs,7,2,0,3,36.142857142857146,67.28571428571429,Synaptic / Cognitive; Metabolic / Mitochondrial; Tau; Synaptic / Cognitive; Lifestyle / Digital; Unspecified / Other; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,44.457142857142856
tricaprilin,6,1,1,6,43.375,64.5,Synaptic / Cognitive; Metabolic / Mitochondrial; Unspecified / Other; Synaptic / Cognitive,44.35
blood sampling,5,2,0,1,55.8,54.4,Synaptic / Cognitive; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Vascular; Amyloid; Synaptic / Cognitive; Metabolic / Mitochondrial; Synaptic / Cognitive; Vascular,44.32
acp-204,2,2,0,0,75.0,50.0,Unspecified / Other,44.0
xanomeline/trospium chloride capsule,2,2,0,0,75.0,50.0,Unspecified / Other,44.0
biomarker data collection,2,1,0,1,82.5,40.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,44.0
semagludtide,1,0,0,1,100.0,31.0,Unspecified / Other,44.0
xanomeline enteric capsule,2,2,0,0,75.0,50.0,Unspecified / Other,44.0
repetitive transcranial magnetic stimulation,5,1,0,4,52.2,55.8,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Synaptic / Cognitive,43.88
exv-802,1,1,0,0,92.0,41.0,Synaptic / Cognitive,43.800000000000004
exv-801,1,1,0,0,92.0,41.0,Synaptic / Cognitive,43.800000000000004
buntanetap/posiphen,2,1,0,1,82.0,42.0,Synaptic / Cognitive; Synaptic / Cognitive; Lifestyle / Digital,43.800000000000004
blood sample,6,2,0,1,49.5,58.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Amyloid; Neuroinflammation; Metabolic / Mitochondrial; Amyloid; Synaptic / Cognitive; Tau; Synaptic / Cognitive; Amyloid; Neuroinflammation; Synaptic / Cognitive,43.8
tms,5,3,0,1,42.0,64.2,Synaptic / Cognitive; Synaptic / Cognitive; Metabolic / Mitochondrial; Unspecified / Other,43.8
silkworm pupa powder,4,4,0,0,39.25,62.5,Synaptic / Cognitive; Unspecified / Other,43.7
semaglutide,3,1,0,2,71.66666666666667,47.333333333333336,Unspecified / Other; Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,43.66666666666667
cor388 capsule,1,0,0,1,99.0,34.0,Neuroinflammation,43.6
rb-adsc,3,3,0,0,55.333333333333336,57.666666666666664,Amyloid; Tau; Neuroinflammation; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Tau,43.13333333333334
amyvid,4,2,0,2,52.75,57.0,Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Amyloid; Tau,43.1
abt-126,7,0,2,6,52.5,60.625,Cholinergic; Unspecified / Other,43.0
xtr006,3,1,0,2,70.0,48.0,Tau; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,43.0
methylphenidate,6,1,1,4,49.666666666666664,58.333333333333336,Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Synaptic / Cognitive; Unspecified / Other; Cholinergic,42.86666666666667
neuraceq (florbetaben 18f),1,0,0,1,96.0,25.0,Amyloid; Synaptic / Cognitive,42.400000000000006
florbetaben (bay94-9172),3,0,0,3,76.0,45.333333333333336,Amyloid; Synaptic / Cognitive; Amyloid,42.400000000000006
remternetug,2,2,0,0,71.0,52.0,Synaptic / Cognitive; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive,42.400000000000006
11c-er176,6,2,1,2,45.0,63.0,Amyloid; Neuroinflammation; Synaptic / Cognitive; Neuroinflammation; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,42.0
ly450139,3,0,0,3,74.66666666666667,46.333333333333336,Amyloid; Synaptic / Cognitive; Amyloid,41.866666666666674
p-tau217 test,1,1,0,0,87.0,41.0,Tau; Synaptic / Cognitive,41.800000000000004
gv1001 1.12mg,2,1,0,1,77.0,42.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive,41.8
genus device (active settings),4,4,0,0,34.5,69.5,Amyloid; Tau; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Amyloid; Neuroinflammation; Synaptic / Cognitive,41.8
cad106,6,0,0,6,44.333333333333336,63.166666666666664,Amyloid; Unspecified / Other,41.733333333333334
active rtms,4,3,0,1,41.75,64.25,Synaptic / Cognitive,41.7
idalopirdine,4,0,1,3,74.0,48.0,Unspecified / Other; Cholinergic,41.6
high dose anavex2-73,1,0,0,1,94.0,39.0,Synaptic / Cognitive; Lifestyle / Digital,41.6
lhp588,1,2,0,0,74.0,46.0,Tau; Synaptic / Cognitive,41.6
chf 5074,2,0,0,7,59.0,52.857142857142854,Unspecified / Other,41.6
mid dose anavex2-73,1,0,0,1,94.0,39.0,Synaptic / Cognitive; Lifestyle / Digital,41.6
recombinant novel coronavirus vaccine (adenovirus type 5 vector),6,0,1,4,58.166666666666664,55.0,Unspecified / Other,41.266666666666666
axs-05,3,0,0,3,73.0,44.666666666666664,Unspecified / Other,41.2
flutemetamol (18f) injection,1,0,0,1,93.0,35.0,Amyloid; Synaptic / Cognitive,41.2
f 18 t807,5,2,1,2,47.8,61.6,Tau; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Tau,41.120000000000005
ena713,3,0,0,3,72.66666666666667,40.333333333333336,Cholinergic; Unspecified / Other,41.06666666666667
rotigotine 4mg/24hrs patch,1,1,0,0,85.0,38.0,Synaptic / Cognitive; Cholinergic,41.0
tafamidis,2,0,0,3,77.0,48.0,Amyloid; Vascular; Amyloid,40.8
florbetapir f 18 pet scan,2,1,0,1,74.5,45.5,Amyloid; Synaptic / Cognitive,40.8
donepezil hcl,3,0,0,3,72.0,42.0,Cholinergic,40.8
questionnaire,3,3,0,0,49.0,58.666666666666664,Synaptic / Cognitive; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Unspecified / Other,40.6
e2020,3,0,0,5,61.2,51.4,Cholinergic; Synaptic / Cognitive; Cholinergic,40.480000000000004
mabt5102a,2,0,0,4,71.0,46.5,Unspecified / Other; Amyloid,40.400000000000006
nav4694,2,2,0,0,66.0,49.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Synaptic / Cognitive,40.400000000000006
flortaucipir f 18,1,0,0,1,91.0,30.0,Tau,40.4
experimental 1,1,0,0,1,91.0,30.0,Synaptic / Cognitive; Cholinergic,40.4
[f-18]flornaptitril,1,1,0,0,83.0,38.0,Synaptic / Cognitive,40.2
ly2062430,3,0,0,3,70.33333333333333,48.0,Amyloid; Synaptic / Cognitive; Unspecified / Other,40.13333333333333
rivastigmine patch,4,0,0,4,60.25,51.5,Synaptic / Cognitive; Cholinergic; Synaptic / Cognitive; Cholinergic; Vascular,40.1
passive digital marker for screening for adrd,2,1,0,1,72.5,42.5,Synaptic / Cognitive; Lifestyle / Digital,40.0
acupuncture,6,2,0,1,40.0,63.833333333333336,Synaptic / Cognitive; Cholinergic; Unspecified / Other; Synaptic / Cognitive; Amyloid; Tau,40.0
tau (18-f-av-1451),1,1,0,0,82.0,41.0,Amyloid; Tau; Vascular,39.800000000000004
pittsburgh compound b (c-11 pib),1,1,0,0,82.0,41.0,Amyloid; Tau; Vascular,39.800000000000004
18-f-flortaucipir,1,1,0,0,82.0,41.0,Amyloid; Tau; Synaptic / Cognitive,39.800000000000004
xaliproden (sr57746a),2,0,0,2,79.5,43.0,Synaptic / Cognitive,39.8
treatment as usual (tau),4,3,0,1,37.0,64.25,Tau; Synaptic / Cognitive; Tau; Synaptic / Cognitive; Lifestyle / Digital; Tau,39.8
biomarkers,2,2,0,0,64.5,50.5,Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,39.8
actimetrics,2,2,0,0,64.0,48.0,Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Lifestyle / Digital,39.6
physical activity,4,3,0,1,36.5,65.5,Amyloid; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Synaptic / Cognitive; Synaptic / Cognitive; Lifestyle / Digital; Lifestyle / Digital,39.6
mk6240,1,1,0,0,81.0,44.0,Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital,39.4
[18f]pi-2620,4,1,0,3,50.75,57.75,Tau; Tau; Synaptic / Cognitive,39.3
dha (docosahexaenoic acid),1,0,0,1,88.0,35.0,Amyloid; Synaptic / Cognitive; Lifestyle / Digital,39.2
bms-708163 (gamma-secretase inhibitor),1,0,0,10,43.0,62.0,Unspecified / Other,39.2
aab-003 (pf-05236812),2,0,0,10,38.0,67.0,Unspecified / Other,39.2
actigraphy,4,0,0,4,58.0,53.0,Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial,39.2
rosiglitazone extended release 8mg,2,0,0,2,78.0,43.0,Synaptic / Cognitive; Cholinergic; Metabolic / Mitochondrial,39.2
rosiglitazone extended release 2mg,2,0,0,2,78.0,43.0,Synaptic / Cognitive; Cholinergic; Metabolic / Mitochondrial,39.2
remternetug (sc),2,1,0,1,70.0,50.5,Amyloid; Tau; Synaptic / Cognitive; Unspecified / Other,39.0
povorcitinib,1,1,0,0,80.0,45.0,Unspecified / Other,39.0
plasma ab42/ab40,2,2,0,0,62.5,52.5,Amyloid; Tau; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Vascular,39.0
plasma neurofilament light (nfl),2,2,0,0,62.5,52.5,Amyloid; Tau; Synaptic / Cognitive; Vascular; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Vascular,39.0
rosiglitazone,5,0,0,4,52.4,57.2,Synaptic / Cognitive; Neuroinflammation; Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular; Lifestyle / Digital; Synaptic / Cognitive; Metabolic / Mitochondrial; Synaptic / Cognitive; Cholinergic; Metabolic / Mitochondrial; Unspecified / Other,38.96
rivastigmine 13.3 mg/24 h (15 cm^2),1,0,0,1,87.0,33.0,Synaptic / Cognitive; Cholinergic,38.800000000000004
memantine er,1,0,0,1,87.0,38.0,Cholinergic; NMDA / Glutamate,38.800000000000004
trx0237 250 mg/day,1,0,0,1,87.0,38.0,Unspecified / Other,38.800000000000004
experimental: alz-801,2,0,1,1,87.0,42.5,Synaptic / Cognitive,38.800000000000004
trx0237 150 mg/day,1,0,0,1,87.0,38.0,Unspecified / Other,38.800000000000004
rivastigmine 9.5 mg/24 h (10 cm^2),1,0,0,1,87.0,33.0,Synaptic / Cognitive; Cholinergic,38.800000000000004
rivastigmine 4.6 mg/24 h (5 cm^2),1,0,0,1,87.0,33.0,Synaptic / Cognitive; Cholinergic,38.800000000000004
rvt-101,1,0,0,1,87.0,38.0,Synaptic / Cognitive; Cholinergic; NMDA / Glutamate,38.800000000000004
diranersen,1,1,0,0,79.0,46.0,Tau; Synaptic / Cognitive,38.6
sr57667b,2,0,0,2,76.5,42.0,Synaptic / Cognitive; Unspecified / Other,38.6
sodium oligomannate capsules,1,1,0,0,79.0,41.0,Synaptic / Cognitive; Lifestyle / Digital,38.6
wujia yizhi granules,1,1,0,0,79.0,41.0,Unspecified / Other,38.6
"rivastigmine, memantine",2,0,0,2,76.0,37.0,Cholinergic; NMDA / Glutamate,38.400000000000006
laboratory tests and montreal cognitive assessment,1,2,0,0,66.0,49.0,Synaptic / Cognitive; Metabolic / Mitochondrial; Vascular,38.400000000000006
t3d-959,2,1,0,1,68.5,52.0,Amyloid; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital; Tau; Synaptic / Cognitive,38.400000000000006
the cognishunt® system,1,0,0,1,86.0,35.0,Amyloid; Synaptic / Cognitive,38.4
amyloid pet,3,1,0,1,63.333333333333336,50.0,Amyloid; Amyloid; Tau; Amyloid; Tau; Synaptic / Cognitive; Vascular,38.333333333333336
neuropsychological evaluation,5,1,0,1,53.2,56.2,Unspecified / Other; Amyloid; Synaptic / Cognitive; Lifestyle / Digital; Amyloid; Tau; Synaptic / Cognitive; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Vascular,38.28
ginkgo biloba extract 240 mg,1,1,0,0,78.0,38.0,Amyloid; Tau; Synaptic / Cognitive,38.2
donepezil drug treatment,1,1,0,0,78.0,38.0,Synaptic / Cognitive; Cholinergic; Metabolic / Mitochondrial,38.2
deep cervical lymphatic-venous anastomosis,1,1,0,0,78.0,38.0,Synaptic / Cognitive; Cholinergic; Metabolic / Mitochondrial,38.2
"administer leqemi 10 mg/kg, every two weeks.",1,1,0,0,78.0,38.0,Amyloid; Synaptic / Cognitive,38.2
[18f]-ro6958948 injection,2,2,0,0,60.5,51.0,Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,38.2
routine treatment,4,2,0,0,50.25,55.75,Amyloid; Tau; Synaptic / Cognitive; Vascular; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive,38.1
florbetaben,5,1,1,3,47.6,62.8,Amyloid; Synaptic / Cognitive; Amyloid; Tau; Synaptic / Cognitive; Metabolic / Mitochondrial; Unspecified / Other; Amyloid; Neuroinflammation; Synaptic / Cognitive; Amyloid; Tau; Neuroinflammation; Synaptic / Cognitive; Vascular,38.040000000000006
albumin 5%,1,0,0,1,85.0,43.0,Synaptic / Cognitive,38.0
st101,2,0,0,6,55.0,50.0,Synaptic / Cognitive; Synaptic / Cognitive; Cholinergic,38.0
albumin 20%,1,0,0,1,85.0,43.0,Synaptic / Cognitive,38.0
nilotinib be 84mg,1,0,0,0,90.0,38.0,Amyloid; Tau; Synaptic / Cognitive,38.0
nilotinib be 112 mg,1,0,0,0,90.0,38.0,Amyloid; Tau; Synaptic / Cognitive,38.0
immunoglobulin,1,0,0,1,85.0,43.0,Synaptic / Cognitive,38.0
brain mri,4,2,0,1,44.75,64.5,Unspecified / Other; Tau; Synaptic / Cognitive; Amyloid; Tau,37.900000000000006
melatonin,4,2,0,1,44.75,61.25,Tau; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Lifestyle / Digital; Synaptic / Cognitive; Metabolic / Mitochondrial; Lifestyle / Digital,37.900000000000006
thorough hearing assessment,1,1,0,0,77.0,43.0,Synaptic / Cognitive,37.8
